sequence,cost,iter_count,elapsed_time
"[7, 18, 17, 5, 8, 1, 11, 19, 3, 4, 2, 13, 9, 16, 0, 12, 6, 10, 15, 14]",3658,50,0.005
"[7, 18, 17, 5, 13, 0, 8, 1, 4, 11, 19, 3, 2, 9, 16, 12, 6, 10, 15, 14]",3170,50,0.004
"[7, 18, 17, 5, 13, 0, 8, 1, 4, 11, 19, 3, 2, 9, 16, 12, 6, 10, 15, 14]",5975,50,0.001
"[17, 0, 19, 18, 1, 4, 10, 2, 11, 15, 6, 7, 16, 13, 9, 8, 12, 5, 14, 3]",10881,50,0.003
"[8, 7, 11, 10, 17, 0, 18, 1, 19, 4, 2, 15, 6, 16, 13, 9, 12, 5, 14, 3]",6383,50,0.002
"[12, 7, 11, 9, 10, 17, 0, 16, 1, 18, 19, 4, 2, 15, 6, 13, 8, 5, 14, 3]",4411,50,0.006
"[8, 12, 7, 11, 9, 10, 15, 17, 0, 16, 1, 18, 19, 4, 2, 6, 13, 5, 14, 3]",4724,50,0.002
"[5, 2, 7, 4, 9, 12, 8, 17, 10, 14, 18, 15, 1, 3, 0, 19, 16, 13, 11, 6]",4246,50,0.004
"[5, 1, 17, 2, 8, 7, 12, 4, 9, 10, 14, 18, 15, 3, 0, 19, 16, 13, 11, 6]",2210,50,0.003
"[5, 18, 16, 1, 17, 2, 8, 7, 12, 4, 9, 10, 14, 15, 3, 0, 19, 13, 11, 6]",1787,50,0.003
"[5, 18, 16, 1, 17, 2, 8, 7, 12, 4, 9, 10, 14, 15, 3, 0, 19, 13, 11, 6]",4095,50,0.002
"[7, 6, 13, 17, 2, 15, 16, 18, 14, 19, 4, 11, 9, 8, 10, 0, 1, 5, 3, 12]",3544,50,0.003
"[7, 9, 19, 6, 8, 14, 13, 17, 2, 15, 16, 18, 4, 11, 10, 0, 1, 5, 3, 12]",2248,50,0.006
"[7, 9, 19, 6, 0, 16, 14, 2, 15, 13, 17, 18, 4, 11, 8, 10, 1, 5, 3, 12]",2288,50,0.004
"[7, 9, 19, 6, 0, 16, 14, 2, 15, 13, 17, 18, 4, 11, 8, 10, 1, 5, 3, 12]",3667,50,0.003
"[0, 10, 7, 6, 14, 4, 13, 2, 18, 5, 17, 1, 9, 3, 19, 12, 15, 11, 8, 16]",5497,50,0.005
"[0, 17, 3, 10, 2, 18, 14, 7, 4, 6, 13, 5, 1, 9, 19, 12, 15, 11, 8, 16]",3038,50,0.004
"[0, 15, 17, 12, 3, 10, 2, 18, 4, 7, 14, 6, 13, 5, 1, 9, 19, 11, 8, 16]",2110,50,0.003
"[0, 15, 17, 12, 3, 10, 2, 5, 18, 4, 7, 14, 6, 13, 1, 9, 19, 11, 8, 16]",3510,50,0.002
